Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degF) ,SNWD.I-1 (in) 
842,1/1/18,9:00,2.9,4.6,29,10
842,1/2/18,9:00,2.8,-99.9,19,9
842,1/3/18,9:00,2.9,4.6,32,6
842,1/4/18,9:00,2.9,-99.9,35,3
842,1/5/18,9:00,3,-99.9,35,7
842,1/6/18,9:00,3,-99.9,34,2
842,1/7/18,9:00,3.5,5.3,23,-3
842,1/8/18,9:00,3.5,5.3,38,9
842,1/9/18,9:00,3.7,5.4,37,17
842,1/10/18,9:00,3.6,5.3,32,17
842,1/11/18,9:00,4,5.5,14,18
842,1/12/18,9:00,4.2,5.7,20,15
842,1/13/18,9:00,4.6,6.1,24,15
842,1/14/18,9:00,4.5,6.1,26,20
842,1/15/18,9:00,4.6,6.1,26,20
842,1/16/18,9:00,4.4,5.9,24,10
842,1/17/18,9:00,4.5,6,28,14
842,1/18/18,9:00,4.6,6.1,33,11
842,1/19/18,9:00,4.7,6.1,38,19
842,1/20/18,9:00,4.7,6.1,39,19
842,1/21/18,9:00,5.1,6.5,15,24
842,1/22/18,9:00,5.1,6.6,13,23
842,1/23/18,9:00,5.3,6.7,19,21
842,1/24/18,9:00,5.3,6.7,28,18
842,1/25/18,9:00,5.4,6.7,35,12
842,1/26/18,9:00,5.5,6.8,11,23
842,1/27/18,9:00,5.5,6.8,19,21
842,1/28/18,9:00,5.6,6.9,23,23
842,1/29/18,9:00,5.6,6.9,30,22
842,1/30/18,9:00,5.7,6.9,37,21
842,1/31/18,9:00,5.7,7,33,24
842,2/1/18,9:00,5.9,6.9,27,24
842,2/2/18,9:00,5.9,7,33,23
842,2/3/18,9:00,5.9,7,29,23
842,2/4/18,9:00,6,7,30,24
842,2/5/18,9:00,6.2,7.1,27,24
842,2/6/18,9:00,6.8,7.8,23,29
842,2/7/18,9:00,6.9,7.9,24,29
842,2/8/18,9:00,7,7.9,30,28
842,2/9/18,9:00,7,7.9,32,28
842,2/10/18,9:00,7.6,8.2,21,31
842,2/11/18,9:00,7.8,8.3,18,30
842,2/12/18,9:00,7.9,8.4,24,26
842,2/13/18,9:00,8.2,8.7,27,26
842,2/14/18,9:00,8.3,8.8,31,25
842,2/15/18,9:00,8.4,8.8,23,23
842,2/16/18,9:00,8.6,9,21,32
842,2/17/18,9:00,8.7,9.1,26,28
842,2/18/18,9:00,8.7,9.1,35,26
842,2/19/18,9:00,8.8,9.1,28,25
842,2/20/18,9:00,9.1,9.4,7,27
842,2/21/18,9:00,9.1,9.3,17,32
842,2/22/18,9:00,9.3,9.5,17,19
842,2/23/18,9:00,9.4,9.6,20,33
842,2/24/18,9:00,9.5,9.7,7,36
842,2/25/18,9:00,9.6,9.7,9,35
842,2/26/18,9:00,9.7,9.8,25,33
842,2/27/18,9:00,9.8,9.8,32,29
842,2/28/18,9:00,9.8,9.8,27,28
842,3/1/18,9:00,9.8,9.8,28,31
842,3/2/18,9:00,9.8,9.8,37,31
842,3/3/18,9:00,9.8,9.8,41,30
842,3/4/18,9:00,9.7,9.8,35,32
842,3/5/18,9:00,9.8,9.8,9,35
842,3/6/18,9:00,10,9.9,18,33
842,3/7/18,9:00,10,10,27,31
842,3/8/18,9:00,10.1,10,34,22
842,3/9/18,9:00,10.1,10,35,31
842,3/10/18,9:00,10.1,10,28,31
842,3/11/18,9:00,10.1,10,35,29
842,3/12/18,9:00,10,10,33,32
842,3/13/18,9:00,10.1,10.1,34,32
842,3/14/18,9:00,9.9,10,39,30
842,3/15/18,9:00,10.1,10,40,30
842,3/16/18,9:00,10.4,10.2,21,33
842,3/17/18,9:00,10.5,10.3,36,31
842,3/18/18,9:00,10.3,10.3,34,29
842,3/19/18,9:00,10.7,10.5,22,33
842,3/20/18,9:00,10.8,10.6,22,33
842,3/21/18,9:00,10.9,10.7,31,31
842,3/22/18,9:00,11,-99.9,41,34
842,3/23/18,9:00,11.5,11.1,31,39
842,3/24/18,9:00,12.2,11.8,37,41
842,3/25/18,9:00,12.1,11.8,41,37
842,3/26/18,9:00,11.9,11.8,30,36
842,3/27/18,9:00,11.9,11.8,31,35
842,3/28/18,9:00,11.9,11.7,27,33
842,3/29/18,9:00,12.2,12,26,37
842,3/30/18,9:00,12.4,12.1,35,36
842,3/31/18,9:00,12.1,12.1,38,35
842,4/1/18,9:00,12.4,12.1,40,35
842,4/2/18,9:00,12.2,12.2,43,33
842,4/3/18,9:00,12,12.2,22,33
842,4/4/18,9:00,11.9,12.2,35,32
842,4/5/18,9:00,12,12.2,37,33
842,4/6/18,9:00,12.2,12.5,33,36
842,4/7/18,9:00,13.4,13.7,37,42
842,4/8/18,9:00,14.4,14.8,28,45
842,4/9/18,9:00,14.8,15.2,32,44
842,4/10/18,9:00,14.9,15.2,38,42
842,4/11/18,9:00,14.7,15.2,45,39
842,4/12/18,9:00,14.5,15.1,42,38
842,4/13/18,9:00,14.2,15.2,17,40
842,4/14/18,9:00,14.4,15.3,23,39
842,4/15/18,9:00,14.5,15.4,37,37
842,4/16/18,9:00,14.5,15.4,47,36
842,4/17/18,9:00,14.2,15.4,36,35
842,4/18/18,9:00,14.3,15.5,29,38
842,4/19/18,9:00,14,15.5,47,36
842,4/20/18,9:00,14.1,15.6,35,36
842,4/21/18,9:00,14.3,15.9,27,39
842,4/22/18,9:00,14.5,16,42,36
842,4/23/18,9:00,14.4,15.9,48,35
842,4/24/18,9:00,14,16,43,33
842,4/25/18,9:00,13.4,16.1,40,34
842,4/26/18,9:00,13.3,16.1,38,27
842,4/27/18,9:00,13,16.1,48,30
842,4/28/18,9:00,12.2,16,54,27
842,4/29/18,9:00,11.5,16.1,48,26
842,4/30/18,9:00,10.5,16.1,43,23
842,5/1/18,9:00,9.6,16.2,43,21
842,5/2/18,9:00,9.3,16.2,41,21
842,5/3/18,9:00,9.9,17.2,28,29
842,5/4/18,9:00,10.3,17.6,37,27
842,5/5/18,9:00,10.1,17.4,49,23
842,5/6/18,9:00,9.6,17.4,52,20
842,5/7/18,9:00,8.8,17.3,56,18
842,5/8/18,9:00,7.9,17.4,50,16
842,5/9/18,9:00,6.5,17.3,55,13
842,5/10/18,9:00,5.3,17.3,57,10
842,5/11/18,9:00,3.9,17.3,54,7
842,5/12/18,9:00,2.4,17.3,55,2
842,5/13/18,9:00,1.3,17.3,48,1
842,5/14/18,9:00,0.7,17.3,47,1
842,5/15/18,9:00,0.4,17.3,51,1
842,5/16/18,9:00,0.3,17.3,53,1
842,5/17/18,9:00,0.3,17.2,56,0
842,5/18/18,9:00,0.3,17.2,54,0
842,5/19/18,9:00,0.2,17.4,48,0
842,5/20/18,9:00,0.3,17.2,51,1
842,5/21/18,9:00,0.3,17.2,52,1
842,5/22/18,9:00,0.3,17.2,53,0
842,5/23/18,9:00,0.3,17.3,50,0
842,5/24/18,9:00,0.2,17.2,53,0
842,5/25/18,9:00,0.3,17,59,-1
842,5/26/18,9:00,0.2,17,63,-1
842,5/27/18,9:00,0.2,17,59,0
842,5/28/18,9:00,0.2,17,55,0
842,5/29/18,9:00,0.2,17.2,49,0
842,5/30/18,9:00,0.3,17.1,54,1
842,5/31/18,9:00,0.2,17,61,0
842,6/1/18,9:00,0.2,17,54,0
842,6/2/18,9:00,0.2,17.1,53,0
842,6/3/18,9:00,0.2,17.1,57,0
842,6/4/18,9:00,0.2,17.2,58,0
842,6/5/18,9:00,0.2,17,65,-1
842,6/6/18,9:00,0.2,17.1,65,-2
842,6/7/18,9:00,0.2,17.1,62,0
842,6/8/18,9:00,0.2,17,63,-1
842,6/9/18,9:00,0.2,17,64,-1
842,6/10/18,9:00,0.2,17,62,-2
842,6/11/18,9:00,0.2,17.2,54,0
842,6/12/18,9:00,0.2,17.1,61,0
842,6/13/18,9:00,0.2,17,66,0
842,6/14/18,9:00,0.3,-3.7,62,0
842,6/15/18,9:00,0.3,17.3,62,0
842,6/16/18,9:00,0.3,17.5,58,1
842,6/17/18,9:00,0.3,17.8,52,1
842,6/18/18,9:00,0.3,18.2,53,1
842,6/19/18,9:00,0.3,18.1,58,0
842,6/20/18,9:00,0.3,18.1,53,1
842,6/21/18,9:00,0.3,18.1,61,1
842,6/22/18,9:00,0.3,18.3,55,1
842,6/23/18,9:00,0.3,18.1,56,1
842,6/24/18,9:00,0.3,18.1,54,0
842,6/25/18,9:00,0.3,18.2,55,0
842,6/26/18,9:00,0.4,18.1,65,-1
842,6/27/18,9:00,0.3,18,71,0
842,6/28/18,9:00,0.3,18,69,0
842,6/29/18,9:00,0.3,18.1,64,0
842,6/30/18,9:00,0.3,18.1,59,0
842,7/1/18,9:00,0.3,18.2,58,-1
842,7/2/18,9:00,0.3,18.1,63,0
842,7/3/18,9:00,0.3,18.1,66,0
842,7/4/18,9:00,-99.9,18.1,65,0
842,7/5/18,9:00,-99.9,18.1,66,0
842,7/6/18,9:00,-99.9,18.2,64,0
842,7/7/18,9:00,-99.9,18.1,67,0
842,7/8/18,9:00,-99.9,18.1,68,0
842,7/9/18,9:00,-99.9,18.1,69,0
842,7/10/18,9:00,-99.9,18.1,65,0
842,7/11/18,9:00,-99.9,18.2,64,0
842,7/12/18,9:00,-99.9,18.2,60,0
842,7/13/18,9:00,-99.9,18.5,62,0
842,7/14/18,9:00,-99.9,18.5,64,0
842,7/15/18,9:00,-99.9,18.6,55,1
842,7/16/18,9:00,-99.9,18.5,64,0
842,7/17/18,9:00,-99.9,18.5,65,0
842,7/18/18,9:00,-99.9,18.5,64,0
842,7/19/18,9:00,-99.9,18.6,68,0
842,7/20/18,9:00,0.3,18.6,66,0
842,7/21/18,9:00,0.3,18.7,67,0
842,7/22/18,9:00,0.3,18.7,66,0
842,7/23/18,9:00,0.3,18.7,67,-1
842,7/24/18,9:00,0.3,19.2,64,0
842,7/25/18,9:00,0.3,19.3,61,0
842,7/26/18,9:00,0.3,19.3,61,0
842,7/27/18,9:00,0.3,19.3,63,-1
842,7/28/18,9:00,0.3,19.4,63,0
842,7/29/18,9:00,0.3,19.5,60,0
842,7/30/18,9:00,0.3,19.4,57,1
842,7/31/18,9:00,0.3,19.4,60,0
842,8/1/18,9:00,0.3,19.4,65,0
842,8/2/18,9:00,0.3,19.4,64,0
842,8/3/18,9:00,0.3,19.6,46,1
842,8/4/18,9:00,0.4,20,62,1
842,8/5/18,9:00,0.3,20.3,58,0
842,8/6/18,9:00,0.3,20.2,62,0
842,8/7/18,9:00,0.3,20.3,63,0
842,8/8/18,9:00,0.3,20.3,64,-1
842,8/9/18,9:00,0.3,20.2,65,0
842,8/10/18,9:00,0.3,20.2,65,0
842,8/11/18,9:00,0.4,20.2,64,0
842,8/12/18,9:00,0.3,20.2,65,0
842,8/13/18,9:00,0.3,20.1,64,1
842,8/14/18,9:00,0.3,20.2,64,-1
842,8/15/18,9:00,0,20.2,62,0
842,8/16/18,9:00,0,20.1,62,0
842,8/17/18,9:00,0,20.2,60,0
842,8/18/18,9:00,0,20.3,48,0
842,8/19/18,9:00,0,20.5,48,0
842,8/20/18,9:00,0,20.5,59,0
842,8/21/18,9:00,0,20.4,57,0
842,8/22/18,9:00,0,20.6,52,0
842,8/23/18,9:00,0,21,51,0
842,8/24/18,9:00,0,21.1,57,0
842,8/25/18,9:00,0,21,61,0
842,8/26/18,9:00,0,21,58,0
842,8/27/18,9:00,0,21.1,54,0
842,8/28/18,9:00,0,21.1,57,0
842,8/29/18,9:00,0,21.1,59,0
842,8/30/18,9:00,0,21.1,62,0
842,8/31/18,9:00,0,21.1,57,0
842,9/1/18,9:00,0,21.2,55,0
842,9/2/18,9:00,0,21.1,58,0
842,9/3/18,9:00,0,21.2,52,0
842,9/4/18,9:00,0,21.1,59,0
842,9/5/18,9:00,0,21.2,48,0
842,9/6/18,9:00,0,21.3,50,0
842,9/7/18,9:00,0,21.2,56,0
