Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degF) ,SNWD.I-1 (in) 
842,1/1/20,9:00,7.4,7.4,20,30
842,1/2/20,9:00,7.6,7.7,17,33
842,1/3/20,9:00,7.7,7.8,17,35
842,1/4/20,9:00,7.8,7.9,35,32
842,1/5/20,9:00,7.8,7.8,30,31
842,1/6/20,9:00,7.8,7.8,12,34
842,1/7/20,9:00,7.9,7.9,25,31
842,1/8/20,9:00,7.9,7.9,35,31
842,1/9/20,9:00,7.9,7.9,18,31
842,1/10/20,9:00,8,8.1,10,35
842,1/11/20,9:00,8.1,8.1,19,34
842,1/12/20,9:00,8.3,8.4,14,36
842,1/13/20,9:00,8.5,8.6,17,38
842,1/14/20,9:00,8.9,8.7,27,38
842,1/15/20,9:00,8.9,8.7,28,37
842,1/16/20,9:00,9,8.8,36,36
842,1/17/20,9:00,9,8.8,21,37
842,1/18/20,9:00,9.4,9,15,39
842,1/19/20,9:00,9.4,9,25,37
842,1/20/20,9:00,9.4,9,35,36
842,1/21/20,9:00,9.6,9.1,31,37
842,1/22/20,9:00,9.8,9.5,23,40
842,1/23/20,9:00,10.1,9.8,20,43
842,1/24/20,9:00,10.2,9.9,30,40
842,1/25/20,9:00,10.3,10.1,23,43
842,1/26/20,9:00,10.4,10.1,26,41
842,1/27/20,9:00,10.5,10.1,25,40
842,1/28/20,9:00,10.5,10.1,16,41
842,1/29/20,9:00,10.5,10.1,24,41
842,1/30/20,9:00,10.6,10.2,15,43
842,1/31/20,9:00,10.6,10.3,18,40
842,2/1/20,9:00,10.8,10.3,31,41
842,2/2/20,9:00,10.8,10.4,43,39
842,2/3/20,9:00,10.9,10.4,33,40
842,2/4/20,9:00,11.1,10.7,3,44
842,2/5/20,9:00,11,10.7,5,43
842,2/6/20,9:00,11.3,10.9,12,45
842,2/7/20,9:00,12.8,12.1,23,56
842,2/8/20,9:00,13.9,13,30,57
842,2/9/20,9:00,14.2,13.4,23,60
842,2/10/20,9:00,14.3,13.6,18,61
842,2/11/20,9:00,14.3,13.6,17,58
842,2/12/20,9:00,14.4,13.6,14,57
842,2/13/20,9:00,14.6,13.7,13,60
842,2/14/20,9:00,14.6,13.7,31,56
842,2/15/20,9:00,14.7,13.8,28,55
842,2/16/20,9:00,14.8,13.9,25,56
842,2/17/20,9:00,15.2,14.2,20,59
842,2/18/20,9:00,15.3,14.3,15,59
842,2/19/20,9:00,15.4,14.4,24,57
842,2/20/20,9:00,15.3,14.3,24,55
842,2/21/20,9:00,15.4,14.4,34,54
842,2/22/20,9:00,15.5,14.4,39,53
842,2/23/20,9:00,15.8,14.7,25,56
842,2/24/20,9:00,16.1,14.9,11,61
842,2/25/20,9:00,16.3,14.9,5,60
842,2/26/20,9:00,16.3,14.9,14,57
842,2/27/20,9:00,16.5,15.1,20,57
842,2/28/20,9:00,16.6,15.2,31,55
842,2/29/20,9:00,16.7,15.2,33,55
842,3/1/20,9:00,16.7,15.2,30,55
842,3/2/20,9:00,16.8,15.4,22,58
842,3/3/20,9:00,16.8,15.3,31,55
842,3/4/20,9:00,16.8,15.4,35,54
842,3/5/20,9:00,16.8,15.4,33,54
842,3/6/20,9:00,16.8,15.4,41,53
842,3/7/20,9:00,16.8,15.5,39,52
842,3/8/20,9:00,16.6,15.5,38,52
842,3/9/20,9:00,16.8,15.5,32,52
842,3/10/20,9:00,16.8,15.5,32,51
842,3/11/20,9:00,16.9,15.6,38,51
842,3/12/20,9:00,17,15.7,33,52
842,3/13/20,9:00,16.8,15.7,35,52
842,3/14/20,9:00,17.1,15.9,31,53
842,3/15/20,9:00,16.9,15.9,38,51
842,3/16/20,9:00,16.6,16,38,50
842,3/17/20,9:00,17,16,41,50
842,3/18/20,9:00,16.7,15.9,39,49
842,3/19/20,9:00,16.9,16,26,52
842,3/20/20,9:00,17.2,16.3,27,55
842,3/21/20,9:00,17.7,16.5,29,55
842,3/22/20,9:00,18.1,16.9,24,59
842,3/23/20,9:00,18.3,16.9,31,57
842,3/24/20,9:00,18.5,17.1,31,56
842,3/25/20,9:00,18.4,17.1,34,54
842,3/26/20,9:00,18.5,17.1,38,53
842,3/27/20,9:00,18.3,17.1,24,52
842,3/28/20,9:00,18.4,17.3,19,55
842,3/29/20,9:00,18.5,17.4,30,53
842,3/30/20,9:00,18.5,17.5,27,55
842,3/31/20,9:00,18.9,17.7,35,55
842,4/1/20,9:00,18.7,17.7,42,51
842,4/2/20,9:00,18.7,17.8,40,52
842,4/3/20,9:00,18.9,18,26,52
842,4/4/20,9:00,18.8,18,37,52
842,4/5/20,9:00,18.7,18,39,52
842,4/6/20,9:00,18.7,18,43,51
842,4/7/20,9:00,18.5,18,42,50
842,4/8/20,9:00,18.5,18,42,49
842,4/9/20,9:00,18.4,18,48,47
842,4/10/20,9:00,18.2,18,43,46
842,4/11/20,9:00,18.1,18,40,45
842,4/12/20,9:00,17.8,18.2,24,47
842,4/13/20,9:00,18.1,18.6,18,52
842,4/14/20,9:00,18.1,18.6,15,50
842,4/15/20,9:00,18.2,18.7,24,50
842,4/16/20,9:00,18.6,19.2,27,54
842,4/17/20,9:00,19.1,19.5,29,54
842,4/18/20,9:00,19.1,19.5,37,51
842,4/19/20,9:00,19.4,19.8,36,51
842,4/20/20,9:00,19.3,19.8,32,50
842,4/21/20,9:00,19.4,19.9,43,47
842,4/22/20,9:00,19.3,19.8,38,46
842,4/23/20,9:00,19.1,19.9,32,46
842,4/24/20,9:00,19.5,20.2,34,48
842,4/25/20,9:00,19.7,20.4,32,49
842,4/26/20,9:00,19.5,20.5,46,45
842,4/27/20,9:00,19.6,20.6,48,44
842,4/28/20,9:00,18.6,20.6,45,42
842,4/29/20,9:00,17.8,20.6,49,40
842,4/30/20,9:00,16.8,20.6,57,37
842,5/1/20,9:00,15.8,20.6,55,34
842,5/2/20,9:00,14.7,20.6,50,32
842,5/3/20,9:00,13.9,20.6,47,30
842,5/4/20,9:00,12.9,20.7,41,28
842,5/5/20,9:00,12.4,20.7,40,27
842,5/6/20,9:00,11.8,20.7,49,24
842,5/7/20,9:00,10.9,20.7,44,22
842,5/8/20,9:00,10,20.7,42,22
842,5/9/20,9:00,9.1,20.7,41,18
842,5/10/20,9:00,8.3,20.7,47,16
842,5/11/20,9:00,6.8,20.8,37,16
842,5/12/20,9:00,7.3,21.3,48,15
842,5/13/20,9:00,6.5,21.3,47,13
842,5/14/20,9:00,5.2,21.3,45,11
842,5/15/20,9:00,4.5,21.3,47,9
842,5/16/20,9:00,3.8,21.3,43,7
842,5/17/20,9:00,2.4,21.3,53,3
842,5/18/20,9:00,1,21.3,58,0
842,5/19/20,9:00,0.6,21.3,59,0
842,5/20/20,9:00,0.5,21.3,54,0
842,5/21/20,9:00,0.4,21.3,43,0
842,5/22/20,9:00,0.4,21.3,50,-1
842,5/23/20,9:00,0.4,21.3,49,0
842,5/24/20,9:00,0.3,21.4,36,1
842,5/25/20,9:00,0.4,21.5,37,-1
